time,n_trips,avg_miles,avg_duration[s]
1326481200,35898.0,2.4968784,692.5754
1326484800,34095.0,2.6792665,669.22754
1326488400,32110.0,2.7561386,650.05334
1326492000,32839.0,2.8184218,657.036
1326495600,32625.0,2.929279,678.1519
1326499200,29954.0,3.0708106,694.2937
1326502800,24690.0,3.0487375,666.5809
1326506400,20666.0,3.183438,664.9437
1326510000,15903.0,3.3387687,666.1571
1326513600,9952.0,3.8179822,684.59625
1326517200,4538.0,4.8230853,701.825
1326520800,4931.0,4.7232146,662.03326
1326524400,6867.0,3.908794,595.93884
1326528000,10981.0,3.0989113,556.2776
1326531600,16216.0,2.643891,539.25073
1326535200,20194.0,2.50025,556.3975
1326538800,22966.0,2.498641,595.41455
1326542400,26134.0,2.4117353,612.1602
1326546000,27136.0,2.4313576,646.05
1326549600,25870.0,2.5887487,665.5827
1326553200,26242.0,2.6460662,682.83057
1326556800,24323.0,2.5995896,652.3324
1326560400,27030.0,2.5181086,656.1498
1326564000,30007.0,2.4472368,671.5446
1326567600,33317.0,2.4162939,684.11896
1326571200,30647.0,2.528028,667.9594
1326574800,27958.0,2.569416,646.96014
1326578400,31180.0,2.603952,665.1364
1326582000,34459.0,2.7288952,701.5671
1326585600,32320.0,2.7981966,702.8514
1326589200,28184.0,2.983186,684.24994
1326592800,24154.0,3.127202,680.1454
1326596400,19270.0,3.3407433,668.85486
1326600000,11716.0,3.630964,679.8083
1326603600,4876.0,4.1460366,659.2713
1326607200,4304.0,4.3021245,635.75604
1326610800,5737.0,3.763575,572.69794
1326614400,8058.0,3.141697,525.67993
1326618000,12745.0,2.671231,495.486
1326621600,19291.0,2.585441,530.3679
1326625200,24385.0,2.5129523,570.2615
1326628800,27037.0,2.4882042,600.9646
1326632400,27630.0,2.6100545,646.1145
1326636000,27289.0,2.7164648,677.85486
1326639600,27709.0,2.8311923,678.81525
1326643200,27232.0,2.791031,663.7021
1326646800,26584.0,2.7710576,650.66125
1326650400,27189.0,2.614075,622.9579
1326654000,25350.0,2.6675916,589.79865
1326657600,27356.0,2.690189,586.1556
1326661200,23279.0,2.7909641,583.10925
1326664800,22879.0,2.9054816,594.519
1326668400,21730.0,3.0910165,599.9067
1326672000,15666.0,3.2528927,607.7158
1326675600,10574.0,3.0734768,592.61743
1326679200,7526.0,3.1862566,600.0037
1326682800,5252.0,3.524917,627.1287
1326686400,4006.0,4.287469,676.0679
1326690000,3296.0,5.550496,710.1638
1326693600,5707.0,4.1220355,600.1135
1326697200,10004.0,3.252662,562.70953
1326700800,15723.0,2.7789433,563.67236
1326704400,18932.0,2.6104743,561.0078
1326708000,19913.0,2.6301398,575.21747
1326711600,21319.0,2.5886378,601.946
1326715200,23745.0,2.5206509,635.2814
1326718800,23142.0,2.6884367,643.0383
1326722400,23636.0,2.9185925,680.1773
1326726000,24059.0,2.926605,692.0645
1326729600,22527.0,2.945952,674.6988
1326733200,25174.0,2.8890276,661.87823
1326736800,28031.0,2.5615513,607.43207
1326740400,26146.0,2.7308018,586.01263
1326744000,21298.0,3.0164597,591.0261
1326747600,20062.0,3.1176085,601.0267
1326751200,19181.0,3.3258967,643.2455
1326754800,14206.0,3.6152186,667.2341
1326758400,8770.0,3.6038857,654.46063
1326762000,5275.0,3.481781,628.62085
1326765600,3402.0,3.4087439,626.1111
1326769200,2250.0,3.6268675,647.8356
1326772800,2209.0,4.8029757,700.66364
1326776400,4309.0,4.838762,665.8617
1326780000,12519.0,3.272241,614.5873
1326783600,23873.0,2.7547746,669.09357
1326787200,30009.0,2.497168,745.23016
1326790800,27906.0,2.3896544,753.9094
1326794400,23503.0,2.48987,731.1033
1326798000,25897.0,2.3738954,750.7247
1326801600,27273.0,2.2544947,743.8035
1326805200,24390.0,2.4764519,737.20624
1326808800,26003.0,2.5920856,773.6816
1326812400,23931.0,2.7116418,775.7568
1326816000,19792.0,2.6859865,714.519
1326819600,24549.0,2.5908084,726.8899
1326823200,30764.0,2.4226036,705.2286
1326826800,32457.0,2.6472223,650.9332
1326830400,29919.0,2.8735528,634.7629
1326834000,26962.0,3.0722408,637.9003
1326837600,23261.0,3.12695,643.1561
1326841200,17360.0,3.4067361,665.6953
1326844800,11372.0,3.5223649,655.008
1326848400,6710.0,3.3361456,622.4501
1326852000,4650.0,3.3954997,615.15247
1326855600,3219.0,3.5408995,622.82605
1326859200,2894.0,4.5137854,676.86487
1326862800,4294.0,4.6362796,632.4846
1326866400,12310.0,3.210119,581.56226
1326870000,23317.0,2.7205756,662.78796
1326873600,28465.0,2.4721627,766.30316
1326877200,27573.0,2.430781,778.0413
1326880800,24295.0,2.470188,752.2305
1326884400,23478.0,2.5035403,763.40625
1326888000,25109.0,2.4138408,762.8225
1326891600,24135.0,2.5293775,754.5505
1326895200,25702.0,2.7666473,783.26953
1326898800,25298.0,2.6940703,765.7476
1326902400,21089.0,2.6266398,699.33624
1326906000,26319.0,2.4982617,722.6305
1326909600,33505.0,2.4443038,722.162
1326913200,35149.0,2.479732,674.2144
1326916800,32915.0,2.6960914,641.87634
1326920400,32108.0,2.8698716,638.47266
1326924000,29692.0,2.985801,643.24426
1326927600,21857.0,3.161459,648.6769
1326931200,13897.0,3.208416,626.49554
1326934800,8258.0,3.1831846,605.07654
1326938400,5199.0,3.2612612,605.44086
1326942000,3564.0,3.6087747,631.6869
1326945600,2885.0,4.441858,666.4971
1326949200,4279.0,4.4228177,613.4882
1326952800,12624.0,2.9937913,541.02216
1326956400,24483.0,2.6192086,636.8603
1326960000,30423.0,2.3995645,738.02295
1326963600,28668.0,2.2932165,762.64813
1326967200,24623.0,2.346256,750.01196
1326970800,23957.0,2.4146945,743.2605
1326974400,24981.0,2.4110067,741.37726
1326978000,24117.0,2.5172071,727.17206
1326981600,26229.0,2.720104,770.3496
1326985200,25054.0,2.7708538,776.67377
1326988800,19940.0,2.7173905,780.47473
1326992400,23539.0,2.68586,816.3004
1326996000,32596.0,2.4936736,753.07733
1326999600,34295.0,2.5707402,697.96985
1327003200,32821.0,2.773857,653.76886
1327006800,31919.0,2.958768,698.2184
1327010400,30631.0,3.0986707,677.5643
1327014000,26350.0,3.1791961,659.3366
1327017600,18784.0,3.1873782,649.4014
1327021200,11718.0,3.222216,627.949
1327024800,7898.0,3.2543187,610.7198
1327028400,5436.0,3.5069668,636.07983
1327032000,4214.0,4.400248,682.3503
1327035600,4693.0,4.5653186,639.11676
1327039200,12138.0,3.1512148,566.9075
1327042800,23751.0,2.599728,636.2984
1327046400,29665.0,2.4224348,750.99286
1327050000,27778.0,2.29865,765.8997
1327053600,24998.0,2.3479583,710.00287
1327057200,24447.0,2.4512613,733.21014
1327060800,25576.0,2.4878743,733.55896
1327064400,25430.0,2.6274366,728.4357
1327068000,27224.0,2.6857173,784.1609
1327071600,25248.0,2.7333176,794.54443
1327075200,21211.0,2.744007,757.7059
1327078800,26330.0,2.5717833,769.799
1327082400,34062.0,2.4346452,739.10645
1327086000,36362.0,2.4480276,714.16113
1327089600,34906.0,2.619799,683.17126
1327093200,33522.0,2.6994083,667.72034
1327096800,34085.0,2.772759,675.8323
1327100400,33137.0,2.8917813,686.13226
1327104000,30598.0,3.0411444,690.0237
1327107600,26160.0,3.1316483,666.3132
1327111200,21606.0,3.1413956,674.60425
1327114800,15260.0,3.2956953,752.8271
1327118400,8457.0,3.6304576,820.5262
1327122000,4291.0,4.482915,847.58655
1327125600,4615.0,4.294668,791.3057
1327129200,6822.0,3.3350623,697.5528
1327132800,10698.0,2.7981303,723.94495
1327136400,14555.0,2.392152,705.3441
1327140000,18120.0,2.3315723,672.1869
1327143600,20665.0,2.26873,685.9317
1327147200,23351.0,2.2903159,660.7651
1327150800,23848.0,2.2694924,643.20026
1327154400,23365.0,2.486604,631.33484
1327158000,23846.0,2.4448647,619.9758
1327161600,22575.0,2.4597995,609.5304
1327165200,26004.0,2.5189786,639.572
1327168800,30439.0,2.425093,663.70996
1327172400,32537.0,2.3211813,679.35815
1327176000,28883.0,2.4227717,642.5586
1327179600,27831.0,2.550736,643.4738
1327183200,31884.0,2.6458137,682.07526
1327186800,32887.0,2.768399,725.844
1327190400,31125.0,2.926823,701.7836
1327194000,27157.0,3.004343,681.0125
1327197600,22927.0,3.0849214,681.02136
1327201200,18140.0,3.2266917,678.2383
1327204800,10685.0,3.5118656,681.8814
1327208400,4452.0,4.3664813,699.8176
1327212000,3962.0,4.5897193,679.98206
1327215600,5442.0,3.9038727,600.80817
1327219200,8665.0,3.1955583,551.2718
1327222800,13351.0,2.7429202,527.54596
1327226400,19038.0,2.5960653,548.41693
1327230000,22715.0,2.494598,578.0706
1327233600,25435.0,2.5399356,618.7369
1327237200,25756.0,2.6171794,635.7059
1327240800,27047.0,2.7965198,667.11
1327244400,24900.0,2.8717651,669.75415
1327248000,23001.0,2.9735358,663.4548
1327251600,24442.0,2.9374669,672.9835
1327255200,27749.0,2.7531881,633.82336
1327258800,19922.0,2.9371538,609.65924
1327262400,18169.0,3.066226,606.90784
1327266000,15200.0,3.1723769,601.4972
1327269600,19885.0,3.2276993,628.78827
1327273200,17890.0,3.459315,638.43475
1327276800,9911.0,3.7191243,650.9886
1327280400,5602.0,3.668415,641.8963
1327284000,3687.0,3.7111046,641.9645
1327287600,2522.0,3.5403848,625.1031
1327291200,2605.0,4.8057766,704.5416
1327294800,4295.0,5.0445876,700.8766
1327298400,11967.0,3.4456391,631.3744
1327302000,21706.0,2.7349865,672.4748
1327305600,27116.0,2.5209532,764.488
1327309200,25612.0,2.457937,767.6487
1327312800,22442.0,2.442557,720.97394
1327316400,21180.0,2.51575,699.2082
1327320000,21745.0,2.4117231,671.4105
1327323600,19945.0,2.505539,662.8114
1327327200,23037.0,2.6076837,697.17584
1327330800,22336.0,2.7331803,740.08325
1327334400,21317.0,2.5194428,715.78754
1327338000,26423.0,2.4733062,736.30426
1327341600,30597.0,2.3670065,684.72345
